Epoch  81/300 | avg loss: 0.056541                                                                                                                                                                                                                                             
Epoch  82/300 | avg loss: 0.056499                                                                                                                                                                                                                                             
Epoch  83/300 | avg loss: 0.056662                                                                                                                                                                                                                                             
Epoch  84/300 | avg loss: 0.057039                                                                                                                                                                                                                                             
Epoch  85/300 | avg loss: 0.056732                                                                                                                                                                                                                                             
Epoch  86/300 | avg loss: 0.056718                                                                                                                                                                                                                                             
Epoch  87/300 | avg loss: 0.056440                                                                                                                                                                                                                                             
Epoch  88/300 | avg loss: 0.056735                                                                                                                                                                                                                                             
Epoch  89/300 | avg loss: 0.056440                                                                                                                                                                                                                                             
Epoch  90/300 | avg loss: 0.056922                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0090.pt
Epoch  91/300 | avg loss: 0.055924                                                                                                                                                                                                                                             
Epoch  92/300 | avg loss: 0.056237                                                                                                                                                                                                                                             
Epoch  93/300 | avg loss: 0.056573                                                                                                                                                                                                                                             
Epoch  94/300 | avg loss: 0.056710                                                                                                                                                                                                                                             
Epoch  95/300 | avg loss: 0.056460                                                                                                                                                                                                                                             
Epoch  96/300 | avg loss: 0.056506                                                                                                                                                                                                                                             
Epoch  97/300 | avg loss: 0.056246                                                                                                                                                                                                                                             
Epoch  98/300 | avg loss: 0.056591                                                                                                                                                                                                                                             
Epoch  99/300 | avg loss: 0.056559                                                                                                                                                                                                                                             
Epoch 100/300 | avg loss: 0.056499                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0100.pt
Epoch 101/300 | avg loss: 0.055641                                                                                                                                                                                                                                             
Epoch 102/300 | avg loss: 0.056222                                                                                                                                                                                                                                             
Epoch 103/300 | avg loss: 0.056540                                                                                                                                                                                                                                             
Epoch 104/300 | avg loss: 0.056463                                                                                                                                                                                                                                             
Epoch 105/300 | avg loss: 0.056068                                                                                                                                                                                                                                             
Epoch 106/300 | avg loss: 0.055851                                                                                                                                                                                                                                             
Epoch 107/300 | avg loss: 0.056206                                                                                                                                                                                                                                             
Epoch 108/300 | avg loss: 0.055875                                                                                                                                                                                                                                             
Epoch 109/300 | avg loss: 0.056371                                                                                                                                                                                                                                             
Epoch 110/300 | avg loss: 0.056142                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0110.pt
Epoch 111/300 | avg loss: 0.055696                                                                                                                                                                                                                                             
Epoch 112/300 | avg loss: 0.055626                                                                                                                                                                                                                                             
